RA,JC,Label
0.0070345370107602065,0.020202020202020204,1
0.8129166955201761,0.15457413249211358,1
0.15708911463295055,0.05537459283387622,1
0,0.0,1
0.00014762326542663124,0.007575757575757576,1
0.01095926780069149,0.02833099579242637,1
0.007280013033079584,0.03536977491961415,1
0.018252259570541336,0.041666666666666664,1
0.00016406890894175554,0.017241379310344827,1
0,0.0,1
0.8004840436094285,0.02501226091221187,1
0.09747696270910847,0.006255585344057194,1
0.10628900228343231,0.017134416543574595,1
0,0.0,1
0.0015358167259171564,3.251503820516989e-05,1
1.7065394653789403,0.24399260628465805,1
0,0.0,1
0,0.0,1
0.025462653093789214,0.04986149584487535,1
0.38326608458850225,0.12797619047619047,1
0.05250885117990467,0.016536118363794605,1
0.003081936918980252,0.003234152652005175,1
0.008304624635726635,0.024475524475524476,1
0.21956333472448333,0.05027027027027027,1
0,0.0,1
0.20507927994192274,0.09027777777777778,1
0.01590754036937346,0.023622047244094488,1
0.00781467125020923,0.019557021677662583,1
0.0023711405667194373,0.004288164665523156,1
3.2898346128209586e-05,0.0021231422505307855,1
2.850297746461965,0.018417914403074068,1
0,0.0,1
0.022135604418354268,0.08695652173913043,1
0,0.0,1
0,0.0,1
0.07982508981584747,0.026113671274961597,1
0.15100902205506717,0.19333333333333333,1
0.1286467621023591,0.052083333333333336,1
0,0.0,1
0,0.0,1
0.7291206727127273,0.0039938665620654,1
0.0024503802473237277,0.011538461538461539,1
0.002645179123087203,0.013100436681222707,1
1.5478438535120577e-05,1.1453441759248655e-05,1
0.004608294930875576,0.2,1
0.000166809372712634,0.020942408376963352,1
0,0.0,1
0.024034868068342763,0.03296703296703297,1
0.1052267588952069,0.018306636155606407,1
0.03942296888737904,0.07894736842105263,1
0,0.0,1
0.07148693716876284,0.018404907975460124,1
0.014226270297640717,0.043859649122807015,1
0,0.0,1
0,0.0,1
0.015925614231947074,0.02857142857142857,1
0.0003245451286312952,0.0010579771476936098,1
0.045863413600435735,0.2903225806451613,1
0,0.0,1
0.14770894954347114,0.065,1
0.9770317812687723,0.0022431583669807087,1
0.018213042474096365,0.09142857142857143,1
0.0020964360587002098,0.005376344086021506,1
0.01953630641156663,0.007334963325183374,1
0,0.0,1
0.002915022555727623,0.011589403973509934,1
0.0033115011891395175,0.02252252252252252,1
0,0.0,1
2.5868101662808356,0.021505376344086023,1
0.004533454920653095,0.021739130434782608,1
1.8671493824086557e-05,0.0020898641588296763,1
0,0.0,1
0.0018459784963723688,0.003561887800534283,1
0,0.0,1
0.00047039912164859217,0.0110062893081761,1
0.05334893719099744,0.07719298245614035,1
0,0.0,1
0.00022577169482419941,0.005847953216374269,1
0.044790266956674006,0.006191240541160285,1
0.06306879385063005,0.11428571428571428,1
0.12276830572256682,0.022350993377483443,1
0.041220346673710134,0.03745928338762215,1
0.10255857930491502,0.03275705186533212,1
0.00804597291179212,0.03571428571428571,1
0,0.0,1
0,0.0,1
0.010697691873305885,0.037037037037037035,1
0.0009371428805554911,0.01509433962264151,1
0.0460985145555821,0.1016949152542373,1
0.0317388948765806,0.05263157894736842,1
0.004161764767201438,0.011705685618729096,1
0.00038133064884349676,0.004750593824228029,1
0,0.0,1
0,0.0,1
0.007146351024599405,0.003189792663476874,1
0.0006648701849173706,0.003389830508474576,1
0.0038314176245210726,0.009708737864077669,1
0,0.0,1
0,0.0,1
0.03797670888030844,0.06933333333333333,1
0,0.0,1
0.0017195396359019094,0.024623803009575923,1
0,0.0,1
0,0.0,1
0.0003594536304816679,0.010416666666666666,1
0,0.0,1
0.006061917266036549,0.003656307129798903,1
0.06122636723056806,0.010382059800664452,1
0,0.0,1
0.004923086829227268,0.0026155187445510027,1
0.02060535011867134,0.0166270783847981,1
0,0.0,1
0.03970212813990038,0.06902871105681124,1
0.010132477385503751,0.05093833780160858,1
0.005395488436324394,0.030476190476190476,1
3.4297140083806304e-05,0.00021374372127818745,1
0.2169786770831676,0.08108108108108109,1
0.00868219876228613,0.0043859649122807015,1
0,0.0,1
0,0.0,1
0.0001734993836212193,0.003918495297805642,1
0.0006073685783309144,0.0014973795857249812,1
0.0013022789111001717,0.014124293785310734,1
0.09368954422312877,0.024336283185840708,1
0.0003869969040247678,0.0010050251256281408,1
0.4127303939457513,0.06976744186046512,1
1.6262542485892245e-05,0.009900990099009901,1
0.007518796992481203,3.33233363324336e-05,1
0.40442000754478,0.07865168539325842,1
0.007259838706478682,0.034108527131782945,1
0.000981527438180709,0.00723258469737343,1
0.03341413507731415,0.048582995951417005,1
0.11211816045652903,0.05263157894736842,1
0.016590096181553448,0.01669449081803005,1
0.010085877980790848,0.014634146341463415,1
0.11450200072253604,0.01647058823529412,1
0,0.0,1
0.004095191527016135,0.018691588785046728,1
0,0.0,1
0.005170230115722936,0.007662835249042145,1
0.03319324612859446,0.015151515151515152,1
0.17235481947474307,0.08196721311475409,1
0.023369900933202882,0.06477732793522267,1
0.021486326874195313,0.015789473684210527,1
0.0019024518898411347,0.011111111111111112,1
0,0.0,1
0.09692988403281688,0.04677349501948896,1
2.8886706337743372e-05,0.00909090909090909,1
0.12544481603908128,0.16260162601626016,1
0.0021952878062955856,0.007261410788381743,1
0,0.0,1
0.004875096719739318,0.021660649819494584,1
0,0.0,1
0.27803688456901754,0.011245865490628445,1
0.2864620282716719,0.25961538461538464,1
0.03743327082148588,0.15765765765765766,1
0.002071408092889983,0.006391270459859704,1
0,0.0,1
0.013888888888888888,0.005917159763313609,1
0.011142467433492903,0.013972055888223553,1
0,0.0,1
0.34229229282085766,0.21052631578947367,1
