RA,JC,AA,PA,Label
0.0013062370994879372,0.00641025641025641,0.2720436484065261,13833,1
0.037037037037037035,0.0070921985815602835,0.30341307554227914,1792,1
0.021826836316432577,0.02480916030534351,1.7838536414965007,71540,1
0.0023037541023116087,0.006,0.7525981057538292,76609,1
0.03415841584158416,0.011976047904191617,0.43485863530630875,1134,1
0.019494392024212215,0.03773584905660377,0.43017900842042145,756,1
0.36784845511546055,0.021511017838405037,7.237568101783967,363242,1
0,0.0,0,17673,1
0.0007380380154926836,0.00881057268722467,0.7677963004224597,69888,1
0,0.0,0,50150,1
0.01908121027917694,0.00990916597853014,3.092927326814939,475629,1
0.033168789259326766,0.05898876404494382,3.021076648377087,29832,1
0,0.0,0,82593,1
0.03927948276200915,0.07042253521126761,1.003688173164119,1443,1
0.003010318485541243,0.019494584837545126,2.7559231348814226,125115,1
0.22834197260002081,0.09431345353675451,11.300399463739407,121958,1
0.06937074709572663,0.038777908343125736,5.206972847564118,149995,1
0.2682277031972446,0.007473841554559043,8.183106036200735,555489,1
0,0.0,0,2001,1
0,0.0,0,5,1
0.0021473910302379304,0.025436046511627907,3.364801638056148,415074,1
0,0.0,0,5850,1
0.000496031746031746,0.004273504273504274,0.13142554903792458,1374,1
0.03477802291093303,0.03287671232876712,1.8785224146732582,17442,1
0.0006549988131871857,0.010810810810810811,0.23961840094945414,8712,1
0,0.0,0,1092,1
0.19307436024447436,0.24074074074074073,3.027263102952769,940,1
0,0.0,0,36,1
0.006520654478466201,0.05555555555555555,0.6091228537640816,768,1
0.00367750548021533,0.0007797316326649365,6.518569692100646,6787285,1
5.385029617662897e-05,0.005494505494505495,0.1017366170485936,7112,1
0.0047408278651314435,0.008968609865470852,0.3293169344887571,5850,1
0,0.0,0,1924,1
0,0.0,0,1605,1
0.0005124211573843715,0.0031446540880503146,0.30261350803398057,26912,1
0.033071165262740135,0.06451612903225806,1.3883190323143109,3131,1
0.020972859655077804,0.08181818181818182,1.427374513375658,3538,1
0.0005160080462872179,0.00038544686698731376,2.1006204373640367,1611009,1
0.013267973856209151,0.015873015873015872,0.3918629099226155,1392,1
0.0009526003829211475,0.007251631617113851,1.8594456212583452,165737,1
0.006269609813202374,0.01282051282051282,0.7098030525865585,3850,1
0.00015255530129672007,0.00015992323684631377,0.1137917489048351,18753,1
0.032631801017788634,0.03598971722365039,2.246661228360414,39952,1
0.18762699421228227,0.03302325581395349,10.585450424311968,501330,1
0.0055188654238659115,0.02032520325203252,0.6142584294280455,15618,1
0.16948605863277005,0.0958904109589041,10.082480125964569,57776,1
0.0015290519877675841,0.002232142857142857,0.15424702165007825,42390,1
0.00788432000980097,0.00532319391634981,1.7601866739550611,200148,1
0,0.0,0,2066,1
0.0005952579011214239,0.008771929824561403,0.33251961214512143,17766,1
1.116263720459542,0.04657534246575343,4.833289292242191,30397,1
0.008054928092494163,0.010795587890166627,5.268152627028732,275730,1
0.0027183875112958907,0.012396694214876033,0.7008800372715489,31464,1
0,0.0,0,132,1
0,0.0,0,639,1
0,0.0,0,252,1
0.008264462809917356,0.008695652173913044,0.20851619571212315,1764,1
0.0012920299773946074,0.14285714285714285,0.2720851376540081,64,1
0.029513980350779588,0.04452054794520548,2.000521782243458,9916,1
0.09028233619199443,0.06944444444444445,1.1952064104195486,882,1
0.01465964739824232,0.028268551236749116,1.2364941500644218,18818,1
0.013578939678900559,0.00954653937947494,1.23129154817781,30704,1
0,0.0,0,376,1
0.0075327592018919086,0.006747638326585695,0.7588267438225501,41785,1
0.005550581603229739,0.020095693779904306,2.282709918703332,279048,1
0.02835563942755838,0.11214953271028037,1.7140016848194377,1900,1
0.08805951753803035,0.1380952380952381,4.295862200687143,13938,1
0,0.0,0,366,1
0.9921512834126681,0.009531374106433678,4.479344461804564,299208,1
0.021675091135926198,0.041666666666666664,1.114857959241406,2964,1
0.009918321414702417,0.03333333333333333,1.1686030273568804,5376,1
0.13522202441241882,0.07936507936507936,1.869289023031125,4524,1
0.08704175591630876,0.019104084321475624,4.136343624064514,597996,1
0.013157894736842105,0.01639344262295082,0.23090777506376875,120,1
0.35955624045097456,0.0037656903765690376,3.908466411715105,1972176,1
0.015909772474011423,0.04221635883905013,2.2115356013358074,9936,1
1.3112054304884109e-06,0.013513513513513514,0.07383035914027619,146,1
0.027869615218230743,0.007168458781362007,1.0332850084721033,8330,1
0,0.0,0,978,1
0.11364014076079378,0.025735294117647058,6.08746560254515,642005,1
0.01343093520048903,0.019097222222222224,1.4827584215484273,24390,1
0,0.0,0,9505,1
0.053088896421311815,0.15436241610738255,3.6295180176892514,7140,1
0.0031524506437021213,0.006980802792321117,0.4319141569624406,41820,1
1.3112054304884109e-06,0.0064516129032258064,0.07383035914027619,2603,1
0,0.0,0,26,1
1.3679265559789342,0.002148728384815653,32.82226867376042,55310112,1
0.00040231365185997616,0.0012081672103419112,1.807168542679241,446769,1
1.3112054304884109e-06,0.0007501875468867217,0.07383035914027619,32725,1
0.005640952722534312,0.007407407407407408,0.31842228891158975,3855,1
0,0.0,0,554,1
0.007772020296924727,0.007589556769884639,2.4681487455677154,312534,1
0.04723976607828625,0.20833333333333334,1.0471874589966537,168,1
0.005657074797518902,0.019867549668874173,0.44832295430547864,3429,1
0,0.0,0,1512,1
0.00017952744437601376,0.02,0.291698824909746,3690,1
0,0.0,0,8170,1
0.004193504952065472,0.016560509554140127,1.5126131034248034,143325,1
0.0011904761904761906,0.034482758620689655,0.1485133393288556,104,1
0,0.0,0,67,1
0.050781842463124525,0.02531645569620253,1.972663803791375,29808,1
0.006871332002633098,0.025906735751295335,0.7235453975139652,2057,1
0.1327023189634607,0.0023025233776608244,6.873490289662909,1890449,1
0.0010203473507048322,0.0001722207870489968,1.013767302657374,812854,1
0.03336666555559259,0.0049382716049382715,0.39101685466110847,41202,1
0.005138071822520888,9.701202949165696e-05,0.7805182143462606,618440,1
0.022763111406617603,0.11347517730496454,2.266115487795733,6132,1
0.07415988647208889,0.04924242424242424,2.4113694003016013,8470,1
9.833905338827209e-06,0.010309278350515464,0.08673271802933455,2320,1
0.008167694538301228,0.027624309392265192,0.7706147480593111,8600,1
0.0018653496230432414,0.0069767441860465115,0.36272135317502907,23920,1
0.004649226230321262,0.001941747572815534,0.5375297674295034,14399,1
0.03923538537010508,0.004744958481613286,0.840596756982147,13296,1
0.00559463676383893,0.030864197530864196,0.7241098142314286,2142,1
4.12847824291966e-05,0.003745318352059925,0.09905877727655886,795,1
0.03896488879091526,0.06741573033707865,3.657372742761835,34731,1
0.24221159732453057,0.27049180327868855,6.1277150258306845,6006,1
0.10376243233690781,0.048582995951417005,4.058145117979912,13257,1
0.12784085696903486,0.05841121495327103,3.8250057305059078,24242,1
0.011107731320185565,0.013605442176870748,1.0349371978016537,9843,1
0.000817673736747378,0.00807899461400359,0.8993629275869346,34912,1
0.9938652404362435,0.07540983606557378,16.460722459011258,384111,1
0.005768472146715496,0.006289308176100629,0.44448572044935275,29376,1
0,0.0,0,1284,1
1.5710178624730964e-05,0.0009569377990430622,0.09040609003438033,18504,1
0,0.0,0,6396,1
0,0.0,0,5507,1
0.0006435006435006435,0.001589825119236884,0.13608057273474058,10421,1
0,0.0,0,31260,1
0,0.0,0,43,1
0.0011160714285714285,0.0017271157167530224,0.14710337826606187,26979,1
0.6271913871548355,0.05736005528680028,14.044217683798054,344144,1
5.4054054054054054e-05,0.0007716049382716049,0.10177572161263505,23022,1
0,0.0,0,1764,1
0,0.0,0,468,1
1.3018116883017272,0.03368794326241135,9.615157196320904,160113,1
0.039071286139012305,0.06015037593984962,4.465207353338225,76275,1
0.004183802408583664,0.0016849199663016006,0.752047906667338,32022,1
0.017333788507065212,0.022727272727272728,0.657058370852869,6944,1
0.030535679709216258,0.03502129673450071,8.823390615830927,1182402,1
0.0031388982846162904,0.00729483282674772,1.3758667009785168,258390,1
0.0004930966469428008,0.0064516129032258064,0.1313231201724803,1460,1
0.07771585319598688,0.04882017900732303,8.428894008498796,261324,1
0.012378610462017563,0.012550685460513612,7.436250071605107,534560,1
0.0007283321194464676,0.0020408163265306124,0.13841302863038032,978,1
